,instance,type,k,old_p,old_r,old_f,new_p,new_r,new_f
0,1 AMC Token Path Ontobuilder MWBG,GRU,0,0.003289473684210526,0.5,0.006535947712418301,0.5032981530343008,0.5013245033112583,0.009195087873599139
1,1 AMC Token Path Ontobuilder MWBG,CNN,0,0.003289473684210526,0.5,0.006535947712418301,0.4967105263157895,0.5,0.4983498349834984
2,1 Ontobuilder Term Match Ontobuilder Max Delta,GRU,0,0.003289473684210526,0.5,0.006535947712418301,0.5032981530343008,0.5013245033112583,0.009195087873599139
3,1 Ontobuilder Term Match Ontobuilder Max Delta,CNN,0,0.003289473684210526,0.5,0.006535947712418301,0.4967105263157895,0.5,0.4983498349834984
4,1 AMC Token Path Ontobuilder Stable Marriage,GRU,0,0.003289473684210526,0.5,0.006535947712418301,0.003289473684210526,0.5,0.006535947712418301
5,1 AMC Token Path Ontobuilder Stable Marriage,CNN,0,0.003289473684210526,0.5,0.006535947712418301,0.7470355731225297,0.5496688741721855,0.5816820783795685
6,1 Ontobuilder Term Match,GRU,0,0.003289473684210526,0.5,0.006535947712418301,0.003289473684210526,0.5,0.006535947712418301
7,1 Ontobuilder Term Match,CNN,0,0.003289473684210526,0.5,0.006535947712418301,0.7470355731225297,0.5496688741721855,0.5816820783795685
8,1 AMC Token Path,GRU,0,0.003289473684210526,0.5,0.006535947712418301,0.4967105263157895,0.5,0.4983498349834984
9,1 AMC Token Path,CNN,0,0.003289473684210526,0.5,0.006535947712418301,0.25296442687747034,0.4503311258278146,0.006551428017396603
10,1 AMC Token Path Ontobuilder Max Delta,GRU,0,0.003289473684210526,0.5,0.006535947712418301,0.4967105263157895,0.5,0.4983498349834984
11,1 AMC Token Path Ontobuilder Max Delta,CNN,0,0.003289473684210526,0.5,0.006535947712418301,0.0029624753127057276,0.45,0.005886200130804448
12,1 AMC Token Path Ontobuilder Dominants,GRU,0,0.003289473684210526,0.5,0.006535947712418301,0.003289473684210526,0.5,0.006535947712418301
13,1 AMC Token Path Ontobuilder Dominants,CNN,0,0.003289473684210526,0.5,0.006535947712418301,0.5027464644394343,0.5221854304635761,0.49473684210526314
14,1 Ontobuilder Term Match Ontobuilder Dominants,GRU,0,0.003289473684210526,0.5,0.006535947712418301,0.003289473684210526,0.5,0.006535947712418301
15,1 Ontobuilder Term Match Ontobuilder Dominants,CNN,0,0.003289473684210526,0.5,0.006535947712418301,0.5043656459615207,0.5281456953642384,0.5003309211881605
16,1 AMC Token Path Ontobuilder Threshold,GRU,0,0.003289473684210526,0.5,0.006535947712418301,0.4967105263157895,0.5,0.4983498349834984
17,1 AMC Token Path Ontobuilder Threshold,CNN,0,0.003289473684210526,0.5,0.006535947712418301,0.49680763059566835,0.38576158940397354,0.2742547937630709
18,1 Ontobuilder Term Match Ontobuilder MWBG,GRU,0,0.003289473684210526,0.5,0.006535947712418301,0.4967105263157895,0.5,0.4983498349834984
19,1 Ontobuilder Term Match Ontobuilder MWBG,CNN,0,0.003289473684210526,0.5,0.006535947712418301,0.49671443915569463,0.383112582781457,0.2713983431549742
